shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
southbound,-28.629426,153.584667,1,0
southbound,-28.629574,153.58502,2,0.038
southbound,-28.631873,153.590081,3,0.594
southbound,-28.634708,153.59654,4,1.299
southbound,-28.63505,153.597315,5,1.384
southbound,-28.637825,153.603612,6,2.071
southbound,-28.638856,153.605941,7,2.326
southbound,-28.640116,153.608791,8,2.637
southbound,-28.64061,153.60991,9,2.76
southbound,-28.640777,153.610217,10,2.795
southbound,-28.641022,153.610535,11,2.836
southbound,-28.641316,153.610829,12,2.88
southbound,-28.641552,153.611,13,2.911
southbound,-28.641722,153.611114,14,2.933
southbound,-28.641766,153.611136,15,2.938
northbound,-28.641762,153.611144,1,0
northbound,-28.64172,153.611114,2,0.006
northbound,-28.641652,153.611066,3,0.014
northbound,-28.641318,153.610832,4,0.058
northbound,-28.641015,153.61053,5,0.103
northbound,-28.640773,153.610212,6,0.144
northbound,-28.640608,153.609923,7,0.177
northbound,-28.640009,153.608557,8,0.327
northbound,-28.638354,153.604812,9,0.736
northbound,-28.636623,153.600887,10,1.164
northbound,-28.634953,153.597091,11,1.579
northbound,-28.63465,153.596409,12,1.653
northbound,-28.632004,153.590372,13,2.312
northbound,-28.629605,153.585082,14,2.893
northbound,-28.629447,153.584712,15,2.933
northbound,-28.629416,153.584653,16,2.94
northbound,-28.62939,153.584597,17,2.946
