shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
fort,53.502699,-113.574056,1,0
fort,53.502724,-113.574121,2,0.005
fort,53.502749,-113.574214,3,0.012
fort,53.50276,-113.574287,4,0.017
fort,53.502752,-113.574382,5,0.023
fort,53.502738,-113.5745,6,0.031
fort,53.502695,-113.574645,7,0.042
fort,53.502548,-113.575033,8,0.072
fort,53.502381,-113.575572,9,0.112
fort,53.502096,-113.576556,10,0.185
fort,53.502059,-113.576718,11,0.196
fort,53.502044,-113.576897,12,0.208
fort,53.502055,-113.577057,13,0.219
fort,53.502086,-113.577248,14,0.232
fort,53.502389,-113.5788,15,0.34
fort,53.502395,-113.578825,16,0.342
fort,53.5024,-113.578855,17,0.344
fort,53.502408,-113.578892,18,0.347
fort,53.502609,-113.579927,19,0.419
fort,53.502634,-113.580062,20,0.428
fort,53.502634,-113.580193,21,0.437
fort,53.502613,-113.580282,22,0.443
fort,53.502583,-113.580371,23,0.45
fort,53.502552,-113.580441,24,0.455
fort,53.502512,-113.580493,25,0.461
fort,53.502471,-113.580523,26,0.466
fort,53.502148,-113.580707,27,0.504
fort,53.502123,-113.580722,28,0.507
fort,53.502101,-113.580736,29,0.51
fort,53.500409,-113.581671,30,0.708
fort,53.500304,-113.581742,31,0.72
fort,53.500251,-113.581799,32,0.727
fort,53.500214,-113.581877,33,0.734
fort,53.500187,-113.581982,34,0.741
fort,53.500178,-113.582132,35,0.751
fort,53.500188,-113.58244,36,0.772
fort,53.500184,-113.582515,37,0.777
fort,53.500175,-113.582581,38,0.781
fort,53.500167,-113.582629,39,0.784
fort,53.500143,-113.582692,40,0.789
fort,53.500065,-113.582816,41,0.801
fort,53.499987,-113.58287,42,0.811
fort,53.499921,-113.582876,43,0.818
fort,53.499829,-113.582847,44,0.828
fort,53.499761,-113.582782,45,0.837
fort,53.499716,-113.582694,46,0.845
fort,53.499676,-113.582569,47,0.854
fort,53.499669,-113.582442,48,0.863
fort,53.499691,-113.582309,49,0.872
fort,53.49973,-113.582164,50,0.882
fort,53.499787,-113.582044,51,0.892
fort,53.499854,-113.58196,52,0.902
fort,53.499932,-113.581879,53,0.912
fort,53.500034,-113.581806,54,0.924
fort,53.50153,-113.580983,55,1.099
fort,53.501547,-113.580977,56,1.101
fort,53.50156,-113.580965,57,1.103
fort,53.502429,-113.580479,58,1.205
fort,53.50248,-113.580437,59,1.211
fort,53.502529,-113.580383,60,1.218
fort,53.502563,-113.580311,61,1.224
fort,53.502582,-113.580233,62,1.229
fort,53.502591,-113.580132,63,1.236
fort,53.502591,-113.580041,64,1.242
fort,53.502574,-113.579942,65,1.249
fort,53.502478,-113.579473,66,1.282
fort,53.502471,-113.579414,67,1.286
fort,53.502043,-113.5772,68,1.44
fort,53.502017,-113.577024,69,1.452
fort,53.502014,-113.57687,70,1.462
fort,53.502027,-113.576705,71,1.473
fort,53.502058,-113.576541,72,1.484
fort,53.502406,-113.575347,73,1.572
fort,53.50242,-113.575134,74,1.586
fort,53.502392,-113.574979,75,1.597
fort,53.502288,-113.57462,76,1.623
fort,53.502272,-113.574507,77,1.631
fort,53.502272,-113.574412,78,1.637
fort,53.502298,-113.574241,79,1.649
fort,53.502365,-113.574054,80,1.663
fort,53.502427,-113.573982,81,1.672
fort,53.502498,-113.573939,82,1.68
fort,53.502581,-113.57394,83,1.689
fort,53.502642,-113.573974,84,1.697
fort,53.502674,-113.574026,85,1.702
