shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Northbound,53.518246,-113.494484,1,0
Northbound,53.518288,-113.494481,2,0.005
Northbound,53.518317,-113.494487,3,0.008
Northbound,53.518362,-113.494496,4,0.013
Northbound,53.519168,-113.494618,5,0.103
Northbound,53.519324,-113.494653,6,0.12
Northbound,53.519536,-113.494778,7,0.145
Northbound,53.51973,-113.494925,8,0.169
Northbound,53.519854,-113.495057,9,0.185
Northbound,53.520027,-113.495249,10,0.208
Northbound,53.520194,-113.495474,11,0.232
Northbound,53.520305,-113.495675,12,0.25
Northbound,53.520319,-113.495702,13,0.253
Northbound,53.520348,-113.495734,14,0.257
Northbound,53.520558,-113.496277,15,0.299
Northbound,53.520675,-113.496669,16,0.328
Northbound,53.520873,-113.497612,17,0.395
Northbound,53.521444,-113.500443,18,0.592
Northbound,53.522049,-113.503476,19,0.804
Northbound,53.522667,-113.506532,20,1.017
Northbound,53.52268,-113.506593,21,1.021
Northbound,53.52269,-113.506655,22,1.026
Northbound,53.522703,-113.506694,23,1.029
Northbound,53.522714,-113.506774,24,1.034
Northbound,53.523252,-113.509419,25,1.219
Northbound,53.523391,-113.510069,26,1.264
Northbound,53.523523,-113.510675,27,1.307
Northbound,53.523617,-113.511021,28,1.332
Northbound,53.523762,-113.511446,29,1.365
Northbound,53.523911,-113.511736,30,1.39
Northbound,53.524159,-113.512198,31,1.431
Northbound,53.524417,-113.51254,32,1.468
Northbound,53.524701,-113.512844,33,1.505
Northbound,53.524962,-113.513027,34,1.537
Northbound,53.525239,-113.513163,35,1.569
Northbound,53.525382,-113.513173,36,1.585
Northbound,53.525471,-113.513202,37,1.595
Northbound,53.525559,-113.513228,38,1.605
Northbound,53.52561,-113.513254,39,1.61
Northbound,53.525649,-113.513271,40,1.615
Northbound,53.525702,-113.513288,41,1.621
Northbound,53.52578,-113.513311,42,1.63
Northbound,53.525934,-113.5133,43,1.647
Northbound,53.526215,-113.513263,44,1.678
Northbound,53.526558,-113.513153,45,1.717
Northbound,53.52673,-113.513061,46,1.737
Northbound,53.526947,-113.51297,47,1.762
Northbound,53.532628,-113.50961,48,2.432
Northbound,53.532755,-113.509559,49,2.446
Northbound,53.532891,-113.5095,50,2.462
Northbound,53.533126,-113.509425,51,2.488
Northbound,53.533396,-113.509324,52,2.519
Northbound,53.533712,-113.509257,53,2.554
Northbound,53.533982,-113.509207,54,2.585
Northbound,53.534218,-113.509171,55,2.611
Northbound,53.534785,-113.509121,56,2.674
Northbound,53.535107,-113.509111,57,2.71
Northbound,53.535202,-113.509109,58,2.721
Northbound,53.535226,-113.509103,59,2.723
Northbound,53.535258,-113.509106,60,2.727
Northbound,53.535294,-113.509104,61,2.731
Northbound,53.535341,-113.509112,62,2.736
Northbound,53.537107,-113.509105,63,2.932
Northbound,53.537404,-113.5091,64,2.965
Northbound,53.538094,-113.509102,65,3.042
Northbound,53.53901,-113.5091,66,3.144
Northbound,53.539132,-113.509099,67,3.158
Northbound,53.539344,-113.509118,68,3.181
Northbound,53.539411,-113.509139,69,3.189
Northbound,53.539464,-113.509187,70,3.195
Northbound,53.539562,-113.509252,71,3.207
Northbound,53.539581,-113.509272,72,3.21
