trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
NorthboundSUMMERSAT_T01,09:00:00,09:00:00,whyte,1,Jasper Plaza via High Level Bridge,0,1,,,0,1
NorthboundSUMMERSAT_T01,09:01:15,09:01:15,strathcona,2,Jasper Plaza via High Level Bridge,0,0,,,0.25,0
NorthboundSUMMERSAT_T01,09:05:07,09:05:07,107,3,Jasper Plaza via High Level Bridge,0,0,,,1.026,0
NorthboundSUMMERSAT_T01,09:08:03,09:08:03,garneau,4,Jasper Plaza via High Level Bridge,0,0,,,1.615,0
NorthboundSUMMERSAT_T01,09:13:36,09:13:36,govt,5,Jasper Plaza,0,0,,,2.727,0
NorthboundSUMMERSAT_T01,09:16:00,09:16:00,jasper,6,Jasper Plaza,1,0,,,3.21,1
NorthboundSUMMERSAT_T02,09:40:00,09:40:00,whyte,1,Jasper Plaza via High Level Bridge,0,1,,,0,1
NorthboundSUMMERSAT_T02,09:41:15,09:41:15,strathcona,2,Jasper Plaza via High Level Bridge,0,0,,,0.25,0
NorthboundSUMMERSAT_T02,09:45:07,09:45:07,107,3,Jasper Plaza via High Level Bridge,0,0,,,1.026,0
NorthboundSUMMERSAT_T02,09:48:03,09:48:03,garneau,4,Jasper Plaza via High Level Bridge,0,0,,,1.615,0
NorthboundSUMMERSAT_T02,09:53:36,09:53:36,govt,5,Jasper Plaza,0,0,,,2.727,0
NorthboundSUMMERSAT_T02,09:56:00,09:56:00,jasper,6,Jasper Plaza,1,0,,,3.21,1
NorthboundSUMMERSAT_T03,10:20:00,10:20:00,whyte,1,Jasper Plaza via High Level Bridge,0,1,,,0,1
NorthboundSUMMERSAT_T03,10:21:15,10:21:15,strathcona,2,Jasper Plaza via High Level Bridge,0,0,,,0.25,0
NorthboundSUMMERSAT_T03,10:25:07,10:25:07,107,3,Jasper Plaza via High Level Bridge,0,0,,,1.026,0
NorthboundSUMMERSAT_T03,10:28:03,10:28:03,garneau,4,Jasper Plaza via High Level Bridge,0,0,,,1.615,0
NorthboundSUMMERSAT_T03,10:33:36,10:33:36,govt,5,Jasper Plaza,0,0,,,2.727,0
NorthboundSUMMERSAT_T03,10:36:00,10:36:00,jasper,6,Jasper Plaza,1,0,,,3.21,1
SouthboundSUMMERSAT_T01,09:20:00,09:20:00,jasper,1,Whyte Terminal via High Level Bridge,0,1,,,0.003,1
SouthboundSUMMERSAT_T01,09:22:06,09:22:06,govt,2,Whyte Terminal via High Level Bridge,0,0,,,0.485,0
SouthboundSUMMERSAT_T01,09:26:56,09:26:56,garneau,3,Whyte Terminal,0,0,,,1.59,0
SouthboundSUMMERSAT_T01,09:29:32,09:29:32,107,4,Whyte Terminal,0,0,,,2.186,0
SouthboundSUMMERSAT_T01,09:32:53,09:32:53,strathcona,5,Whyte Terminal,1,0,,,2.954,0
SouthboundSUMMERSAT_T01,09:34:00,09:34:00,whyte,6,Whyte Terminal,1,0,,,3.208,1
SouthboundSUMMERSAT_T02,10:00:00,10:00:00,jasper,1,Whyte Terminal via High Level Bridge,0,1,,,0.003,1
SouthboundSUMMERSAT_T02,10:02:06,10:02:06,govt,2,Whyte Terminal via High Level Bridge,0,0,,,0.485,0
SouthboundSUMMERSAT_T02,10:06:56,10:06:56,garneau,3,Whyte Terminal,0,0,,,1.59,0
SouthboundSUMMERSAT_T02,10:09:32,10:09:32,107,4,Whyte Terminal,0,0,,,2.186,0
SouthboundSUMMERSAT_T02,10:12:53,10:12:53,strathcona,5,Whyte Terminal,1,0,,,2.954,0
SouthboundSUMMERSAT_T02,10:14:00,10:14:00,whyte,6,Whyte Terminal,1,0,,,3.208,1
SouthboundSUMMERSAT_T03,10:40:00,10:40:00,jasper,1,Whyte Terminal via High Level Bridge,0,1,,,0.003,1
SouthboundSUMMERSAT_T03,10:42:06,10:42:06,govt,2,Whyte Terminal via High Level Bridge,0,0,,,0.485,0
SouthboundSUMMERSAT_T03,10:46:56,10:46:56,garneau,3,Whyte Terminal,0,0,,,1.59,0
SouthboundSUMMERSAT_T03,10:49:32,10:49:32,107,4,Whyte Terminal,0,0,,,2.186,0
SouthboundSUMMERSAT_T03,10:52:53,10:52:53,strathcona,5,Whyte Terminal,1,0,,,2.954,0
SouthboundSUMMERSAT_T03,10:54:00,10:54:00,whyte,6,Whyte Terminal,1,0,,,3.208,1
NorthboundSUMMERREG_T01,11:00:00,11:00:00,whyte,1,Jasper Plaza via High Level Bridge,0,1,,,0,1
NorthboundSUMMERREG_T01,11:01:15,11:01:15,strathcona,2,Jasper Plaza via High Level Bridge,0,0,,,0.25,0
NorthboundSUMMERREG_T01,11:05:07,11:05:07,107,3,Jasper Plaza via High Level Bridge,0,0,,,1.026,0
NorthboundSUMMERREG_T01,11:08:03,11:08:03,garneau,4,Jasper Plaza via High Level Bridge,0,0,,,1.615,0
NorthboundSUMMERREG_T01,11:13:36,11:13:36,govt,5,Jasper Plaza,0,0,,,2.727,0
NorthboundSUMMERREG_T01,11:16:00,11:16:00,jasper,6,Jasper Plaza,1,0,,,3.21,1
NorthboundSUMMERREG_T02,11:45:00,11:45:00,whyte,1,Jasper Plaza via High Level Bridge,0,1,,,0,1
NorthboundSUMMERREG_T02,11:46:15,11:46:15,strathcona,2,Jasper Plaza via High Level Bridge,0,0,,,0.25,0
NorthboundSUMMERREG_T02,11:50:07,11:50:07,107,3,Jasper Plaza via High Level Bridge,0,0,,,1.026,0
NorthboundSUMMERREG_T02,11:53:03,11:53:03,garneau,4,Jasper Plaza via High Level Bridge,0,0,,,1.615,0
NorthboundSUMMERREG_T02,11:58:36,11:58:36,govt,5,Jasper Plaza,0,0,,,2.727,0
NorthboundSUMMERREG_T02,12:01:00,12:01:00,jasper,6,Jasper Plaza,1,0,,,3.21,1
