route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
NB,core,CoreService_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T03,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T04,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T05,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T06,to Jasper Plaza,0,,Northbound,,
NB,core,CoreService_NB_T07,to Jasper Plaza,0,,Northbound,,
SB,core,CoreService_SB_T01,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T02,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T03,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T04,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T05,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T06,to Strathcona,1,,Southbound,,
SB,core,CoreService_SB_T07,to Strathcona,1,,Southbound,,
NB,saturday,Saturday_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,saturday,Saturday_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,saturday,Saturday_NB_T03,to Jasper Plaza,0,,Northbound,,
NB,saturday,Saturday_NB_T04,to Jasper Plaza,0,,Northbound,,
NB,saturday,Saturday_NB_T05,to Jasper Plaza,0,,Northbound,,
NB,saturday,Saturday_NB_T06,to Jasper Plaza,0,,Northbound,,
SB,saturday,Saturday_SB_T01,to Strathcona,1,,Southbound,,
SB,saturday,Saturday_SB_T02,to Strathcona,1,,Southbound,,
SB,saturday,Saturday_SB_T03,to Strathcona,1,,Southbound,,
SB,saturday,Saturday_SB_T04,to Strathcona,1,,Southbound,,
SB,saturday,Saturday_SB_T05,to Strathcona,1,,Southbound,,
SB,saturday,Saturday_SB_T06,to Strathcona,1,,Southbound,,
NB,weekend,WeekendAM_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,weekend,WeekendAM_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,weekend,WeekendAM_NB_T03,to Jasper Plaza,0,,Northbound,,
SB,weekend,WeekendAM_SB_T01,to Strathcona,1,,Southbound,,
SB,weekend,WeekendAM_SB_T02,to Strathcona,1,,Southbound,,
SB,weekend,WeekendAM_SB_T03,to Strathcona,1,,Southbound,,
NB,sunday,SundayHoliday_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,sunday,SundayHoliday_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,sunday,SundayHoliday_NB_T03,to Jasper Plaza,0,,Northbound,,
NB,sunday,SundayHoliday_NB_T04,to Jasper Plaza,0,,Northbound,,
SB,sunday,SundayHoliday_SB_T01,to Strathcona,1,,Southbound,,
SB,sunday,SundayHoliday_SB_T02,to Strathcona,1,,Southbound,,
SB,sunday,SundayHoliday_SB_T03,to Strathcona,1,,Southbound,,
SB,sunday,SundayHoliday_SB_T04,to Strathcona,1,,Southbound,,
NB,fringecore,FringeCore_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T03,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T04,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T05,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T06,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T07,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T08,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T09,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T10,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T11,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T12,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T13,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T14,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T15,to Jasper Plaza,0,,Northbound,,
NB,fringecore,FringeCore_NB_T16,to Jasper Plaza,0,,Northbound,,
SB,fringecore,FringeCore_SB_T01,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T02,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T03,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T04,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T05,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T06,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T07,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T08,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T09,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T10,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T11,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T12,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T13,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T14,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T15,to Strathcona,1,,Southbound,,
SB,fringecore,FringeCore_SB_T16,to Strathcona,1,,Southbound,,
NB,fringesat,FringeSat_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,fringesat,FringeSat_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,fringesat,FringeSat_NB_T03,to Jasper Plaza,0,,Northbound,,
SB,fringesat,FringeSat_SB_T01,to Strathcona,1,,Southbound,,
SB,fringesat,FringeSat_SB_T02,to Strathcona,1,,Southbound,,
SB,fringesat,FringeSat_SB_T03,to Strathcona,1,,Southbound,,
NB,fringecar2,FringeCar2_NB_T01,to Jasper Plaza,0,,Northbound,,
NB,fringecar2,FringeCar2_NB_T02,to Jasper Plaza,0,,Northbound,,
NB,fringecar2,FringeCar2_NB_T03,to Jasper Plaza,0,,Northbound,,
NB,fringecar2,FringeCar2_NB_T04,to Jasper Plaza,0,,Northbound,,
NB,fringecar2,FringeCar2_NB_T05,to Jasper Plaza,0,,Northbound,,
NB,fringecar2,FringeCar2_NB_T06,to Jasper Plaza,0,,Northbound,,
