trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
AM-R_T01,06:47:00,06:47:00,13,1,to Silva Bay via North Road,,1,,,,1
AM-R_T01,,,14,2,to Silva Bay via North Road,,,,,,
AM-R_T01,,,15,3,to Silva Bay via North Road,,,,,,
AM-R_T01,,,34,4,to Silva Bay via North Road,,,,,,
AM-R_T01,,,35,5,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,36,6,to Ferry via Silva Bay,,,,,,
AM-R_T01,06:50:00,06:50:00,37,7,to Ferry via Silva Bay,,,,,,1
AM-R_T01,,,46,8,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,47,9,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,51,10,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,52,11,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,53,12,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,54,13,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,55,14,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,56,15,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,57,16,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,58,17,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,59,18,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,60,19,to Ferry via Silva Bay,,,,,,
AM-R_T01,,,61,20,to Ferry via Silva Bay,,,,,,
AM-R_T01,07:05:00,07:05:00,62,21,to Ferry via Village,,,,,,1
AM-R_T01,,,63,22,to Ferry via Village,,,,,,
AM-R_T01,,,64,23,to Ferry via Village,,,,,,
AM-R_T01,,,65,24,to Ferry via Village,,,,,,
AM-R_T01,,,66,25,to Ferry via Village,,,,,,
AM-R_T01,,,67,26,to Ferry via Village,,,,,,
AM-R_T01,,,68,27,to Ferry via Village,,,,,,
AM-R_T01,,,69,28,to Ferry via Village,,,,,,
AM-R_T01,07:05:00,07:05:00,70,29,to Ferry via Village,,,,,,1
AM-R_T01,,,76,30,to Ferry via Village,,,,,,
AM-R_T01,,,77,31,to Ferry via Village,,,,,,
AM-R_T01,,,78,32,to Ferry via Village,,,,,,
AM-R_T01,,,79,33,to Ferry via Village,,,,,,
AM-R_T01,,,80,34,to Ferry via Village,,,,,,
AM-R_T01,,,81,35,to Ferry via Village,,,,,,
AM-R_T01,,,82,36,to Ferry via Village,,,,,,
AM-R_T01,,,83,37,to Ferry via Village,,,,,,
AM-R_T01,07:10:00,07:10:00,84,38,to Ferry via Village,,,,,,1
AM-R_T01,,,85,39,to Ferry via Village,,,,,,
AM-R_T01,,,86,40,to Ferry via Village,,,,,,
AM-R_T01,,,87,41,to Ferry via Village,,,,,,
AM-R_T01,,,88,42,to Ferry via Village,,,,,,
AM-R_T01,,,89,43,to Ferry via Village,,,,,,
