shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
whale-out,49.525105,-124.648231,1,0
whale-out,49.525193,-124.648269,2,0.01
whale-out,49.531479,-124.64811,3,0.709
whale-out,49.53163,-124.64807,4,0.726
whale-out,49.531762,-124.647978,5,0.742
whale-out,49.53184,-124.647837,6,0.756
whale-out,49.531865,-124.64762,7,0.772
whale-out,49.531773,-124.638332,8,1.442
whale-out,49.531597,-124.632995,9,1.828
whale-out,49.531589,-124.632332,10,1.876
whale-out,49.531505,-124.631453,11,1.94
whale-out,49.531538,-124.630572,12,2.003
whale-out,49.531502,-124.629296,13,2.096
whale-out,49.531472,-124.62787,14,2.198
whale-out,49.531447,-124.627491,15,2.226
whale-out,49.531364,-124.627201,16,2.249
whale-out,49.531259,-124.626978,17,2.269
whale-out,49.531088,-124.626738,18,2.294
whale-out,49.530706,-124.62638,19,2.344
whale-out,49.530429,-124.62606,20,2.383
whale-out,49.530165,-124.625654,21,2.424
whale-out,49.529965,-124.625244,22,2.461
whale-out,49.529801,-124.624726,23,2.503
whale-out,49.52963,-124.624183,24,2.546
whale-out,49.529503,-124.623529,25,2.596
whale-out,49.529428,-124.622798,26,2.649
whale-out,49.529135,-124.620477,27,2.82
whale-out,49.528848,-124.619365,28,2.906
whale-out,49.528678,-124.617947,29,3.01
whale-out,49.528623,-124.617217,30,3.063
whale-out,49.528544,-124.616808,31,3.094
whale-out,49.528266,-124.615844,32,3.17
whale-out,49.528228,-124.61553,33,3.193
whale-out,49.528218,-124.615007,34,3.231
whale-out,49.528215,-124.614521,35,3.266
whale-out,49.528146,-124.614254,36,3.287
whale-out,49.527866,-124.613616,37,3.342
whale-out,49.527455,-124.612849,38,3.414
whale-out,49.527351,-124.612486,39,3.443
whale-out,49.527263,-124.612067,40,3.474
whale-out,49.527143,-124.61171,41,3.504
whale-out,49.526954,-124.611261,42,3.542
whale-out,49.526821,-124.610827,43,3.577
whale-out,49.526704,-124.610277,44,3.619
whale-out,49.526643,-124.609953,45,3.643
whale-out,49.526587,-124.609773,46,3.657
whale-out,49.526474,-124.609666,47,3.672
whale-out,49.526262,-124.609516,48,3.698
whale-out,49.526123,-124.609323,49,3.719
whale-out,49.525711,-124.608296,50,3.806
whale-out,49.525405,-124.607528,51,3.871
whale-out,49.5251,-124.606554,52,3.949
whale-in,49.525079,-124.606543,1,0
whale-in,49.525436,-124.607599,2,0.086
whale-in,49.526128,-124.609312,3,0.232
whale-in,49.526254,-124.609538,4,0.253
whale-in,49.526421,-124.60966,5,0.274
whale-in,49.526589,-124.609788,6,0.294
whale-in,49.526667,-124.610013,7,0.313
whale-in,49.526824,-124.610832,8,0.375
whale-in,49.526979,-124.61131,9,0.413
whale-in,49.527194,-124.611824,10,0.457
whale-in,49.527257,-124.612042,11,0.474
