trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
ferryin_T01,07:55:01,07:55:01,1,1,,,1,1,1,0,1
ferryin_T01,07:57:00,07:57:00,5,2,,,,1,1,0.811,1
ferryin_T01,07:59:00,07:59:00,2,3,,,,1,1,1.499,1
ferryin_T01,08:00:00,08:00:00,3,4,,,,1,1,2.236,1
ferryin_T01,08:01:00,08:01:00,24,5,,,,1,1,2.995,1
ferryin_T01,08:02:00,08:02:00,23,6,,,,1,1,3.817,1
ferryin_T01,08:03:00,08:03:00,12,7,,,,1,1,4.484,1
ferryin_T01,08:05:00,08:05:00,4,8,,,,1,1,5.894,1
ferryin_T01,08:05:00,08:05:00,6,9,,,,1,1,6.152,1
ferryin_T01,08:06:00,08:06:00,7,10,,,,1,1,6.748,1
ferryin_T01,08:07:00,08:07:00,8,11,,,,1,1,7.095,1
ferryin_T01,08:09:00,08:09:00,9,12,,,,1,1,7.91,1
ferryin_T01,08:10:00,08:10:00,10,13,,,,1,1,8.427,1
ferryin_T01,08:12:00,08:12:00,26,14,,,,1,1,9.185,1
ferryin_T01,08:13:00,08:13:00,16,15,,1,,1,1,10.057,1
ferryin_T02,08:55:01,08:55:01,1,1,,,1,1,1,0,1
ferryin_T02,08:57:00,08:57:00,5,2,,,,1,1,0.811,1
ferryin_T02,08:59:00,08:59:00,2,3,,,,1,1,1.499,1
ferryin_T02,09:00:00,09:00:00,3,4,,,,1,1,2.236,1
ferryin_T02,09:01:00,09:01:00,24,5,,,,1,1,2.995,1
ferryin_T02,09:02:00,09:02:00,23,6,,,,1,1,3.817,1
ferryin_T02,09:03:00,09:03:00,12,7,,,,1,1,4.484,1
ferryin_T02,09:05:00,09:05:00,4,8,,,,1,1,5.894,1
ferryin_T02,09:05:00,09:05:00,6,9,,,,1,1,6.152,1
ferryin_T02,09:06:00,09:06:00,7,10,,,,1,1,6.748,1
ferryin_T02,09:07:00,09:07:00,8,11,,,,1,1,7.095,1
ferryin_T02,09:09:00,09:09:00,9,12,,,,1,1,7.91,1
ferryin_T02,09:10:00,09:10:00,10,13,,,,1,1,8.427,1
ferryin_T02,09:12:00,09:12:00,26,14,,,,1,1,9.185,1
ferryin_T02,09:13:00,09:13:00,16,15,,1,,1,1,10.057,1
ferryin_T03,09:55:01,09:55:01,1,1,,,1,1,1,0,1
ferryin_T03,09:57:00,09:57:00,5,2,,,,1,1,0.811,1
ferryin_T03,09:59:00,09:59:00,2,3,,,,1,1,1.499,1
ferryin_T03,10:00:00,10:00:00,3,4,,,,1,1,2.236,1
ferryin_T03,10:01:00,10:01:00,24,5,,,,1,1,2.995,1
ferryin_T03,10:02:00,10:02:00,23,6,,,,1,1,3.817,1
ferryin_T03,10:03:00,10:03:00,12,7,,,,1,1,4.484,1
ferryin_T03,10:05:00,10:05:00,4,8,,,,1,1,5.894,1
ferryin_T03,10:05:00,10:05:00,6,9,,,,1,1,6.152,1
ferryin_T03,10:06:00,10:06:00,7,10,,,,1,1,6.748,1
ferryin_T03,10:07:00,10:07:00,8,11,,,,1,1,7.095,1
ferryin_T03,10:09:00,10:09:00,9,12,,,,1,1,7.91,1
ferryin_T03,10:10:00,10:10:00,10,13,,,,1,1,8.427,1
ferryin_T03,10:12:00,10:12:00,26,14,,,,1,1,9.185,1
ferryin_T03,10:13:00,10:13:00,16,15,,1,,1,1,10.057,1
ferryin_T04,10:55:01,10:55:01,1,1,,,1,1,1,0,1
ferryin_T04,10:57:00,10:57:00,5,2,,,,1,1,0.811,1
ferryin_T04,10:59:00,10:59:00,2,3,,,,1,1,1.499,1
ferryin_T04,11:00:00,11:00:00,3,4,,,,1,1,2.236,1
ferryin_T04,11:01:00,11:01:00,24,5,,,,1,1,2.995,1
ferryin_T04,11:02:00,11:02:00,23,6,,,,1,1,3.817,1
ferryin_T04,11:03:00,11:03:00,12,7,,,,1,1,4.484,1
ferryin_T04,11:05:00,11:05:00,4,8,,,,1,1,5.894,1
ferryin_T04,11:05:00,11:05:00,6,9,,,,1,1,6.152,1
ferryin_T04,11:06:00,11:06:00,7,10,,,,1,1,6.748,1
ferryin_T04,11:07:00,11:07:00,8,11,,,,1,1,7.095,1
ferryin_T04,11:09:00,11:09:00,9,12,,,,1,1,7.91,1
ferryin_T04,11:10:00,11:10:00,10,13,,,,1,1,8.427,1
ferryin_T04,11:12:00,11:12:00,26,14,,,,1,1,9.185,1
ferryin_T04,11:13:00,11:13:00,16,15,,1,,1,1,10.057,1
ferryin_T05,11:55:01,11:55:01,1,1,,,1,1,1,0,1
ferryin_T05,11:57:00,11:57:00,5,2,,,,1,1,0.811,1
ferryin_T05,11:59:00,11:59:00,2,3,,,,1,1,1.499,1
