shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
toIsland,49.166054,-123.93344,1,0
toIsland,49.166055,-123.933432,2,0.001
toIsland,49.166064,-123.933419,3,0.002
toIsland,49.166083,-123.9334,4,0.004
toIsland,49.166099,-123.93339,5,0.006
toIsland,49.166126,-123.933373,6,0.01
toIsland,49.166157,-123.933364,7,0.013
toIsland,49.166185,-123.933366,8,0.016
toIsland,49.16622,-123.933376,9,0.02
toIsland,49.166252,-123.93339,10,0.024
toIsland,49.16629,-123.93342,11,0.029
toIsland,49.166438,-123.93351,12,0.046
toIsland,49.166578,-123.933614,13,0.064
toIsland,49.166971,-123.933835,14,0.11
toIsland,49.167087,-123.933889,15,0.124
toIsland,49.167738,-123.934029,16,0.197
toIsland,49.167864,-123.933999,17,0.211
toIsland,49.168,-123.93394,18,0.227
toIsland,49.16814,-123.933807,19,0.245
toIsland,49.168256,-123.933688,20,0.261
toIsland,49.168416,-123.933547,21,0.281
toIsland,49.168552,-123.933466,22,0.297
toIsland,49.168683,-123.933406,23,0.313
toIsland,49.16909,-123.933332,24,0.358
toIsland,49.169834,-123.933285,25,0.441
toIsland,49.170006,-123.933237,26,0.46
toIsland,49.170178,-123.93313,27,0.481
toIsland,49.170311,-123.933003,28,0.498
toIsland,49.170496,-123.932731,29,0.527
toIsland,49.17469,-123.927248,30,1.141
toIsland,49.175364,-123.926505,31,1.233
toIsland,49.175717,-123.926336,32,1.274
toIsland,49.176103,-123.926201,33,1.318
toIsland,49.176397,-123.926146,34,1.351
toIsland,49.176528,-123.926128,35,1.366
toIsland,49.176649,-123.926125,36,1.379
toIsland,49.176726,-123.926121,37,1.388
toIsland,49.17678,-123.926135,38,1.394
toIsland,49.176801,-123.92615,39,1.396
toIsland,49.176817,-123.926178,40,1.399
toIsland,49.176834,-123.92621,41,1.402
toIsland,49.176843,-123.926235,42,1.404
toIsland,49.176866,-123.926257,43,1.407
toIsland,49.176885,-123.926271,44,1.409
toNanaimo,49.176891,-123.926287,1,0
toNanaimo,49.17687,-123.926268,2,0.003
toNanaimo,49.176849,-123.926249,3,0.005
toNanaimo,49.176833,-123.926224,4,0.008
toNanaimo,49.176814,-123.926202,5,0.011
toNanaimo,49.176775,-123.926164,6,0.016
toNanaimo,49.176742,-123.926135,7,0.02
toNanaimo,49.176686,-123.9261,8,0.027
toNanaimo,49.176632,-123.926072,9,0.033
toNanaimo,49.176578,-123.92604,10,0.039
toNanaimo,49.176503,-123.926027,11,0.048
toNanaimo,49.176392,-123.926018,12,0.06
toNanaimo,49.17629,-123.92604,13,0.072
toNanaimo,49.17617,-123.926104,14,0.086
toNanaimo,49.176021,-123.926259,15,0.106
toNanaimo,49.170025,-123.932866,16,0.928
toNanaimo,49.169492,-123.933406,17,0.999
toNanaimo,49.169331,-123.933509,18,1.018
toNanaimo,49.169245,-123.933527,19,1.028
toNanaimo,49.169072,-123.933514,20,1.047
toNanaimo,49.168331,-123.933478,21,1.129
toNanaimo,49.16823,-123.93351,22,1.141
toNanaimo,49.168164,-123.933591,23,1.15
toNanaimo,49.168104,-123.933783,24,1.166
toNanaimo,49.168035,-123.93397,25,1.181
toNanaimo,49.167972,-123.934052,26,1.191
toNanaimo,49.1679,-123.934085,27,1.199
toNanaimo,49.167831,-123.934085,28,1.207
toNanaimo,49.166922,-123.933735,29,1.311
toNanaimo,49.16646,-123.933513,30,1.365
toNanaimo,49.166366,-123.933455,31,1.376
toNanaimo,49.166311,-123.933404,32,1.383
toNanaimo,49.166239,-123.933359,33,1.392
toNanaimo,49.166188,-123.933353,34,1.397
toNanaimo,49.166159,-123.933356,35,1.401
toNanaimo,49.166126,-123.933397,36,1.405
toNanaimo,49.166097,-123.933434,37,1.41
toNanaimo,49.166068,-123.933451,38,1.413
toNanaimo,49.166046,-123.933465,39,1.416
toNanaimo,49.166026,-123.933458,40,1.418
toNanaimo,49.166021,-123.933438,41,1.42
toNanaimo,49.166026,-123.933417,42,1.421
