route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
ProtFerry,7am,toNanMorning_T01,to Nanaimo,0,,toNanaimo,,
ProtFerry,7am,toIslMorning_T01,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toNanDay_T01,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T02,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T03,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T04,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T05,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T06,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T07,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T08,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T09,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T10,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T11,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T12,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T13,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toNanDay_T14,to Nanaimo,0,,toNanaimo,,
ProtFerry,daytime,toIslDay_T01,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T02,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T03,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T04,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T05,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T06,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T07,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T08,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T09,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T10,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T11,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T12,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T13,to Protection Island,1,,toIsland,,
ProtFerry,daytime,toIslDay_T14,to Protection Island,1,,toIsland,,
ProtFerry,10pm,toNanNight_T01,to Nanaimo,0,,toNanaimo,,
ProtFerry,10pm,toIslNight_T01,to Protection Island,1,,toNanaimo,,
