shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
NB,49.106425,-125.867429,1,0
NB,49.106434,-125.86747,2,0.003
NB,49.106425,-125.867512,3,0.006
NB,49.106428,-125.867597,4,0.013
NB,49.106462,-125.867686,5,0.02
NB,49.106522,-125.867782,6,0.03
NB,49.106947,-125.868252,7,0.088
NB,49.108265,-125.869792,8,0.273
NB,49.10854,-125.870225,9,0.316
NB,49.10888,-125.871353,10,0.407
NB,49.109536,-125.874748,11,0.665
NB,49.110258,-125.877166,12,0.858
NB,49.110435,-125.8777,13,0.902
NB,49.111054,-125.878417,14,0.988
NB,49.111342,-125.87864,15,1.024
NB,49.111409,-125.878689,16,1.032
NB,49.111455,-125.878712,17,1.037
NB,49.111492,-125.878749,18,1.042
NB,49.111505,-125.878804,19,1.047
NB,49.112107,-125.879597,20,1.135
NB,49.112489,-125.880233,21,1.198
NB,49.112869,-125.880655,22,1.25
NB,49.113137,-125.880903,23,1.285
NB,49.113732,-125.881015,24,1.352
NB,49.113896,-125.881066,25,1.37
NB,49.113997,-125.881174,26,1.384
NB,49.114019,-125.88131,27,1.394
NB,49.113971,-125.881441,28,1.405
NB,49.113559,-125.882045,29,1.469
NB,49.113329,-125.882193,30,1.496
NB,49.113184,-125.882397,31,1.518
NB,49.113126,-125.882639,32,1.537
NB,49.113151,-125.883189,33,1.577
NB,49.113102,-125.883328,34,1.589
NB,49.113008,-125.883398,35,1.6
NB,49.112938,-125.883392,36,1.608
NB,49.112899,-125.883241,37,1.62
NB,49.112945,-125.882813,38,1.651
NB,49.113034,-125.88257,39,1.672
NB,49.113314,-125.882249,40,1.711
NB,49.113474,-125.88213,41,1.73
NB,49.113641,-125.881955,42,1.753
NB,49.113911,-125.88156,43,1.794
NB,49.114015,-125.881373,44,1.812
NB,49.11409,-125.881299,45,1.822
NB,49.114146,-125.881282,46,1.829
NB,49.114198,-125.881305,47,1.835
NB,49.11477,-125.881997,48,1.916
NB,49.11534,-125.882692,49,1.997
NB,49.115526,-125.882784,50,2.019
NB,49.11556,-125.882808,51,2.023
NB,49.11562,-125.882873,52,2.031
NB,49.115648,-125.882931,53,2.036
NB,49.115717,-125.883099,54,2.051
NB,49.115755,-125.88317,55,2.057
NB,49.11581,-125.883255,56,2.066
NB,49.117723,-125.885553,57,2.337
NB,49.117853,-125.885789,58,2.359
NB,49.118295,-125.88665,59,2.439
NB,49.118563,-125.886896,60,2.473
NB,49.119532,-125.887709,61,2.596
NB,49.120024,-125.888003,62,2.655
NB,49.120312,-125.888182,63,2.69
NB,49.120844,-125.888777,64,2.763
NB,49.121555,-125.889605,65,2.862
NB,49.121651,-125.889679,66,2.874
NB,49.121733,-125.889732,67,2.884
NB,49.121792,-125.889785,68,2.892
NB,49.121816,-125.889843,69,2.897
NB,49.121895,-125.889965,70,2.909
NB,49.122372,-125.890538,71,2.977
NB,49.122939,-125.891207,72,3.056
NB,49.123323,-125.891588,73,3.107
NB,49.123375,-125.891804,74,3.124
NB,49.123379,-125.892026,75,3.14
NB,49.123251,-125.895223,76,3.373
NB,49.123188,-125.895325,77,3.384
NB,49.123101,-125.895346,78,3.393
NB,49.122931,-125.895204,79,3.415
NB,49.122839,-125.895122,80,3.427
NB,49.122743,-125.894933,81,3.444
NB,49.122679,-125.894922,82,3.451
NB,49.122621,-125.894977,83,3.459
NB,49.122611,-125.895048,84,3.464
NB,49.122666,-125.895246,85,3.48
NB,49.12272,-125.895266,86,3.486
NB,49.122808,-125.895264,87,3.496
NB,49.122907,-125.895163,88,3.509
NB,49.123041,-125.89526,89,3.526
NB,49.123107,-125.895299,90,3.533
NB,49.123174,-125.895283,91,3.541
NB,49.123244,-125.89518,92,3.552
NB,49.123351,-125.892003,93,3.783
NB,49.123402,-125.891701,94,3.806
NB,49.123452,-125.891703,95,3.811
NB,49.125129,-125.893436,96,4.037
NB,49.125827,-125.894161,97,4.13
NB,49.125934,-125.894223,98,4.143
NB,49.126042,-125.894249,99,4.155
NB,49.126762,-125.894293,100,4.235
NB,49.126869,-125.894273,101,4.247
NB,49.126924,-125.894256,102,4.254
NB,49.126984,-125.89427,103,4.26
NB,49.127021,-125.894326,104,4.266
NB,49.127099,-125.894343,105,4.275
NB,49.127173,-125.89437,106,4.283
NB,49.129006,-125.895083,107,4.494
NB,49.129336,-125.895233,108,4.532
NB,49.129592,-125.895418,109,4.564
NB,49.130309,-125.895859,110,4.649
NB,49.130463,-125.895929,111,4.667
NB,49.130606,-125.895939,112,4.683
NB,49.130731,-125.895879,113,4.698
NB,49.130914,-125.895802,114,4.719
NB,49.131069,-125.895689,115,4.738
NB,49.131696,-125.894985,116,4.825
NB,49.132543,-125.893897,117,4.948
NB,49.132636,-125.893757,118,4.962
NB,49.132674,-125.893697,119,4.968
NB,49.1327,-125.893656,120,4.972
NB,49.132718,-125.893612,121,4.976
NB,49.132735,-125.893588,122,4.979
NB,49.132781,-125.893537,123,4.985
NB,49.132896,-125.893424,124,5
NB,49.134081,-125.892028,125,5.167
NB,49.134176,-125.891895,126,5.181
NB,49.13433,-125.891798,127,5.199
NB,49.135057,-125.891371,128,5.286
NB,49.135249,-125.891178,129,5.312
NB,49.135671,-125.890757,130,5.368
NB,49.135863,-125.890624,131,5.391
NB,49.136048,-125.890599,132,5.412
NB,49.136331,-125.890628,133,5.443
NB,49.137771,-125.890628,134,5.603
NB,49.138613,-125.890448,135,5.698
NB,49.140149,-125.890008,136,5.872
NB,49.14046,-125.889913,137,5.907
NB,49.140724,-125.889975,138,5.937
NB,49.142382,-125.890318,139,6.123
NB,49.142496,-125.890334,140,6.135
NB,49.142531,-125.89034,141,6.139
NB,49.14256,-125.890337,142,6.143
NB,49.142591,-125.89034,143,6.146
NB,49.142633,-125.890362,144,6.151
NB,49.143286,-125.890444,145,6.224
NB,49.143546,-125.890554,146,6.254
NB,49.143819,-125.890802,147,6.289
NB,49.144247,-125.891084,148,6.341
NB,49.14468,-125.891308,149,6.392
NB,49.145189,-125.891436,150,6.449
NB,49.146978,-125.891714,151,6.649
NB,49.147862,-125.892212,152,6.754
NB,49.14871,-125.893019,153,6.865
NB,49.148965,-125.893359,154,6.903
NB,49.149066,-125.893637,155,6.926
NB,49.149291,-125.894386,156,6.986
NB,49.149389,-125.89473,157,7.013
NB,49.14941,-125.894782,158,7.017
NB,49.149425,-125.894823,159,7.021
NB,49.149434,-125.894861,160,7.024
NB,49.149541,-125.895283,161,7.057
NB,49.1499,-125.896438,162,7.15
NB,49.150132,-125.897072,163,7.202
NB,49.150814,-125.898433,164,7.327
NB,49.151457,-125.899661,165,7.442
NB,49.151787,-125.90034,166,7.503
NB,49.152277,-125.901943,167,7.632
NB,49.152329,-125.902256,168,7.655
NB,49.152367,-125.902428,169,7.668
NB,49.152423,-125.90253,170,7.678
NB,49.152514,-125.902598,171,7.689
NB,49.152648,-125.90258,172,7.704
NB,49.153109,-125.902482,173,7.756
NB,49.153179,-125.902491,174,7.764
NB,49.153236,-125.902532,175,7.771
NB,49.153281,-125.902642,176,7.78
NB,49.153979,-125.907034,177,8.109
NB,49.153997,-125.907378,178,8.134
NB,49.153991,-125.907575,179,8.148
NB,49.153957,-125.907743,180,8.161
NB,49.153598,-125.908885,181,8.253
NB,49.153575,-125.908939,182,8.258
NB,49.15357,-125.908976,183,8.261
NB,49.153563,-125.909018,184,8.264
NB,49.153543,-125.909059,185,8.268
SB,49.153562,-125.909039,1,0
SB,49.153521,-125.909132,2,0.008
SB,49.153476,-125.909176,3,0.014
SB,49.153444,-125.909182,4,0.018
SB,49.153362,-125.909157,5,0.027
SB,49.15271,-125.908668,6,0.108
SB,49.152677,-125.908581,7,0.115
SB,49.152669,-125.908462,8,0.124
SB,49.15271,-125.908281,9,0.138
SB,49.153045,-125.907209,10,0.224
SB,49.153026,-125.906975,11,0.241
SB,49.152366,-125.902707,12,0.56
SB,49.152288,-125.902242,13,0.595
SB,49.152286,-125.902189,14,0.599
SB,49.15227,-125.902122,15,0.604
SB,49.152236,-125.901985,16,0.615
SB,49.151741,-125.900287,17,0.75
SB,49.150667,-125.898165,18,0.945
SB,49.149977,-125.896806,19,1.07
SB,49.149665,-125.895954,20,1.141
SB,49.149654,-125.895914,21,1.144
SB,49.149632,-125.895863,22,1.149
SB,49.149599,-125.895778,23,1.156
SB,49.149569,-125.895692,24,1.163
SB,49.149037,-125.893599,25,1.326
SB,49.148977,-125.893486,26,1.337
SB,49.1489,-125.893313,27,1.352
SB,49.14827,-125.892618,28,1.439
SB,49.147419,-125.892055,29,1.542
SB,49.146894,-125.891795,30,1.603
SB,49.14617,-125.891617,31,1.685
SB,49.145199,-125.891455,32,1.793
SB,49.144591,-125.89129,33,1.862
SB,49.14418,-125.891116,34,1.909
SB,49.14362,-125.890633,35,1.981
SB,49.143197,-125.890456,36,2.03
SB,49.141925,-125.890351,37,2.171
SB,49.141602,-125.890257,38,2.208
SB,49.141537,-125.890236,39,2.215
SB,49.141493,-125.890225,40,2.22
SB,49.141438,-125.890209,41,2.226
SB,49.141374,-125.890188,42,2.234
SB,49.140467,-125.890048,43,2.335
SB,49.140355,-125.890053,44,2.348
SB,49.140253,-125.890073,45,2.359
SB,49.138556,-125.890535,46,2.551
SB,49.137627,-125.890694,47,2.655
SB,49.136287,-125.890691,48,2.804
SB,49.136018,-125.890671,49,2.834
SB,49.135935,-125.890714,50,2.843
SB,49.135786,-125.890815,51,2.861
SB,49.135083,-125.891427,52,2.951
SB,49.134308,-125.891914,53,3.045
SB,49.132892,-125.893583,54,3.243
SB,49.132498,-125.894026,55,3.298
SB,49.132395,-125.894229,56,3.316
SB,49.132392,-125.894335,57,3.324
SB,49.132378,-125.898343,58,3.616
SB,49.132417,-125.900873,59,3.8
SB,49.132426,-125.900986,60,3.808
SB,49.132431,-125.901036,61,3.812
SB,49.132394,-125.901506,62,3.846
SB,49.132372,-125.90155,63,3.85
SB,49.132323,-125.90158,64,3.856
SB,49.132243,-125.901591,65,3.865
