trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
NORTHBOUND_T01,09:40:00,09:40:00,23,1,,0,1,1,1,0,1
NORTHBOUND_T01,09:44:00,09:44:00,24,2,,0,0,1,1,2.089,1
NORTHBOUND_T01,09:49:00,09:49:00,25,3,,0,0,1,1,2.866,1
NORTHBOUND_T01,09:59:00,09:59:00,1,4,,0,0,1,1,10.35,1
NORTHBOUND_T01,10:00:00,10:00:00,2,5,,0,0,1,1,11.388,1
NORTHBOUND_T01,10:03:00,10:03:00,18,6,,0,0,1,1,13.36,1
NORTHBOUND_T01,10:05:00,10:05:00,19,7,,0,0,1,1,13.7,1
NORTHBOUND_T01,10:08:00,10:08:00,20,8,,0,0,1,1,14.463,1
NORTHBOUND_T01,10:09:00,10:09:00,21,9,,0,0,1,1,15.018,1
NORTHBOUND_T01,10:10:00,10:10:00,3,10,,0,0,1,1,15.422,1
NORTHBOUND_T01,10:12:00,10:12:00,4,11,,0,0,1,1,16.284,1
NORTHBOUND_T01,10:13:00,10:13:00,8,12,,0,0,1,1,16.972,1
NORTHBOUND_T01,10:14:00,10:14:00,9,13,,0,0,1,1,17.684,1
NORTHBOUND_T01,10:16:00,10:16:00,10,14,,0,0,1,1,18.847,1
NORTHBOUND_T01,10:18:00,10:18:00,11,15,,0,0,1,1,19.732,1
NORTHBOUND_T01,10:25:00,10:25:00,12,16,,1,0,1,1,20.973,1
NORTHBOUND_T02,11:20:00,11:20:00,23,1,,0,1,1,1,0,1
NORTHBOUND_T02,11:24:00,11:24:00,24,2,,0,0,1,1,2.089,1
NORTHBOUND_T02,11:29:00,11:29:00,25,3,,0,0,1,1,2.866,1
NORTHBOUND_T02,11:39:00,11:39:00,1,4,,0,0,1,1,10.35,1
NORTHBOUND_T02,11:40:00,11:40:00,2,5,,0,0,1,1,11.388,1
NORTHBOUND_T02,11:43:00,11:43:00,18,6,,0,0,1,1,13.36,1
NORTHBOUND_T02,11:45:00,11:45:00,19,7,,0,0,1,1,13.7,1
NORTHBOUND_T02,11:48:00,11:48:00,20,8,,0,0,1,1,14.463,1
NORTHBOUND_T02,11:49:00,11:49:00,21,9,,0,0,1,1,15.018,1
NORTHBOUND_T02,11:50:00,11:50:00,3,10,,0,0,1,1,15.422,1
NORTHBOUND_T02,11:52:00,11:52:00,4,11,,0,0,1,1,16.284,1
NORTHBOUND_T02,11:53:00,11:53:00,8,12,,0,0,1,1,16.972,1
NORTHBOUND_T02,11:54:00,11:54:00,9,13,,0,0,1,1,17.684,1
NORTHBOUND_T02,11:56:00,11:56:00,10,14,,0,0,1,1,18.847,1
NORTHBOUND_T02,11:58:00,11:58:00,11,15,,0,0,1,1,19.732,1
NORTHBOUND_T02,12:05:00,12:05:00,12,16,,1,0,1,1,20.973,1
NORTHBOUND_T03,13:18:00,13:18:00,23,1,,0,1,1,1,0,1
NORTHBOUND_T03,13:22:00,13:22:00,24,2,,0,0,1,1,2.089,1
NORTHBOUND_T03,13:27:00,13:27:00,25,3,,0,0,1,1,2.866,1
NORTHBOUND_T03,13:37:00,13:37:00,1,4,,0,0,1,1,10.35,1
